id,categoria,grupo,tipo_gasto,valor_mensal_base,aliq_indireta_total,aliq_federal,aliq_estadual,aliq_municipal,valor_imposto_embutido,valor_custo_real,tributos_presentes,observacao
1,Alimentação,Consumo,Essencial,1600,26.0,9.0,17.0,0.0,416,1184,"ICMS;PIS;COFINS;INSS_Patronal;FGTS;IRPJ;CSLL","ICMS 17% por dentro + folha patronal embutida na cadeia"
2,Moradia (aluguel),Habitação,Essencial,1200,18.0,9.0,0.0,9.0,216,984,"PIS;COFINS;INSS_Patronal;ISS;IRPJ;CSLL","ISS sobre serviços de construção/manutenção embutido no aluguel"
3,Combustível,Transporte,Essencial,900,43.0,25.0,18.0,0.0,387,513,"CIDE;PIS;COFINS;ICMS;INSS_Patronal;IRPJ;CSLL","ICMS 28% PI (por dentro) + CIDE + PIS/COFINS — cascata sobre todos os elos da cadeia"
4,Energia Elétrica,Utilidades,Essencial,450,44.0,5.0,37.0,2.0,198,252,"ICMS;PIS;COFINS;CIP","ICMS energia PI 30-37% + CIP municipal + PIS/COFINS"
5,Água e Saneamento,Utilidades,Essencial,120,16.0,3.0,11.0,2.0,19,101,"ICMS;PIS;COFINS;CIP parcial","Inclui taxas de saneamento com tributos embutidos"
6,Internet,Telecom,Essencial,129,40.0,16.0,24.0,0.0,52,77,"ICMS;PIS;COFINS;FUST;FUNTTEL","ICMS telecom 25% PI (por dentro) + contribuições sobre faturamento"
7,Telefonia,Telecom,Essencial,109,40.0,16.0,24.0,0.0,44,65,"ICMS;PIS;COFINS;FUST;FUNTTEL","Mesmo regime do ICMS telecom 25% PI"
8,Plano de Saúde,Saúde,Essencial,420,22.0,15.0,3.0,4.0,92,328,"IOF;PIS;COFINS;ISS;IRPJ;CSLL","IOF 0,38% + PIS/COFINS + ISS sobre serviços médicos"
9,Escola (mensalidade privada),Educação,Essencial,500,22.0,14.0,3.0,5.0,110,390,"PIS;COFINS;ISS;IRPJ;CSLL;INSS_Patronal","ISS 5% sobre serviço educacional + tributos sobre insumos"
10,Farmácia / Medicamentos,Saúde,Essencial,400,32.0,20.0,12.0,0.0,128,272,"IPI;ICMS;PIS;COFINS;INSS_Patronal;IRPJ;CSLL","ICMS 12% medicamentos (alíq. reduzida PI) + IPI variável + cadeia de distribuição"
11,Financiamento do Carro,Transporte,Essencial,900,30.0,18.0,12.0,0.0,270,630,"IPI;ICMS;IOF;PIS;COFINS;INSS_Patronal;IRPJ;CSLL","IPI embutido no preço do veículo (7-25%) + ICMS + IOF financiamento"
12,Seguro do Carro,Transporte,Essencial,150,22.0,14.0,4.0,4.0,33,117,"IOF;PIS;COFINS;ISS;IRPJ;CSLL","IOF 7,38% sobre prêmio + PIS/COFINS + ISS sobre corretagem"
13,Manutenção do Veículo,Transporte,Adicional,150,28.0,13.0,11.0,4.0,42,108,"ICMS;PIS;COFINS;ISS;IPI pecas;INSS_Patronal","ICMS peças + ISS mão de obra + PIS/COFINS — dois regimes aplicados"
14,Vestuário,Consumo,Adicional,250,35.0,20.0,15.0,0.0,88,163,"IPI;ICMS;PIS;COFINS;INSS_Patronal;IRPJ;CSLL","Setor têxtil: alta carga de IPI + ICMS + folha patronal embutida"
15,Lazer mínimo,Lazer,Adicional,300,28.0,12.0,12.0,4.0,84,216,"ICMS;ISS;PIS;COFINS;IRPJ;CSLL","Mix de consumo e serviço — ISS sobre serviços + ICMS produtos"
16,Reserva de emergências,Poupança,Adicional,300,0.0,0.0,0.0,0.0,0,300,"","IOF sobre investimentos (se render) — não aplicado nesta camada"
17,Material escolar,Educação,Adicional,100,26.0,15.0,11.0,0.0,26,74,"IPI;ICMS;PIS;COFINS;INSS_Patronal","Mesma cadeia de produtos industrializados"
18,Taxas bancárias,Serviços Financeiros,Adicional,50,18.0,13.0,1.0,4.0,9,41,"IOF;PIS;COFINS;ISS;IRPJ;CSLL","IOF sobre operações + ISS sobre tarifas + PIS/COFINS sobre receita bancária"
